what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1361408551245
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1361408553698
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1361408585995
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1361408588339
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1361408588464
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1361408588495
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1361408614854
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1361408753198
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1361408753229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361408868370
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1361408868433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361408868761
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1361408983167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409032808
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1361409032995
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1361409034745
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1361409034761
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1361409036058
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1361409036058
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1361409036073
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1361409036073
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1361409036073
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1361409036073
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1361409036073
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1361409036073
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1361409036073
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1361409036073
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1361409036073
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1361409036073
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1361409036073
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1361409036073
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1361409036073
stopped,bundle,org.eclipse.wb.core.databinding.xml,0.9.0.r36x201104251554,"org.eclipse.wb.core.databinding.xml",1361409036073
stopped,bundle,org.eclipse.wb.core.databinding,0.9.0.r36x201104251542,"org.eclipse.wb.core.databinding",1361409036073
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1361409036073
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1361409036073
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1361409036073
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1361409036073
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.4.3.r36v201104261928,"com.google.appengine.eclipse.sdkbundle",1361409036073
stopped,bundle,com.google.gdt.eclipse.gph.e36,2.3.0.r36v201104261928,"com.google.gdt.eclipse.gph.e36",1361409036073
stopped,bundle,com.google.gdt.eclipse.gph.hge,2.3.0.r36v201104261928,"com.google.gdt.eclipse.gph.hge",1361409036073
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,2.3.0.r36v201104261928,"com.google.gdt.eclipse.gph.subclipse",1361409036073
stopped,bundle,com.google.gdt.eclipse.gph.subversive,2.3.0.r36v201104261928,"com.google.gdt.eclipse.gph.subversive",1361409036073
stopped,bundle,com.google.gdt.eclipse.gph,2.3.0.r36v201104261928,"com.google.gdt.eclipse.gph",1361409036073
stopped,bundle,com.google.gdt.eclipse.managedapis,2.3.0.r36v201104261928,"com.google.gdt.eclipse.managedapis",1361409036136
stopped,bundle,com.google.gdt.eclipse.maven,2.3.0.r36v201104261928,"com.google.gdt.eclipse.maven",1361409036136
stopped,bundle,com.google.gdt.eclipse.suite,2.3.0.r36v201104261928,"com.google.gdt.eclipse.suite",1361409036136
stopped,bundle,com.google.appengine.eclipse.core,2.3.0.r36v201104261928,"com.google.appengine.eclipse.core",1361409036136
stopped,bundle,com.google.gdt.eclipse.login,2.3.0.r36v201104261928,"com.google.gdt.eclipse.login",1361409036136
stopped,bundle,com.google.gwt.eclipse.oophm,2.3.0.r36v201104261928,"com.google.gwt.eclipse.oophm",1361409036136
stopped,bundle,com.google.gwt.eclipse.sdkbundle,2.3.0.r36v201104261928,"com.google.gwt.eclipse.sdkbundle",1361409036136
stopped,bundle,com.google.gwt.eclipse.core,2.3.0.r36v201104261928,"com.google.gwt.eclipse.core",1361409036183
